//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-20-2010
//--  Time: 19:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -4(F), 	Resistance 1: 16150 Ohms 
//--    Temperature2: 104(F), 	Resistance 2: 1150 Ohms 
//--    Temperature3: 176(F), 	Resistance 3: 330 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
204	137.39	1374 	0.996
205	137.04	1370 	1.001
206	136.70	1367 	1.006
207	136.35	1363 	1.011
208	136.00	1360 	1.016
209	135.66	1357 	1.021
210	135.32	1353 	1.025
211	134.98	1350 	1.030
212	134.64	1346 	1.035
213	134.30	1343 	1.040
214	133.96	1340 	1.045
215	133.63	1336 	1.050
216	133.30	1333 	1.055
217	132.97	1330 	1.060
218	132.64	1326 	1.064
219	132.31	1323 	1.069
220	131.98	1320 	1.074
221	131.66	1317 	1.079
222	131.33	1313 	1.084
223	131.01	1310 	1.089
224	130.69	1307 	1.094
225	130.37	1304 	1.099
226	130.05	1300 	1.104
227	129.73	1297 	1.108
228	129.42	1294 	1.113
229	129.10	1291 	1.118
230	128.79	1288 	1.123
231	128.48	1285 	1.128
232	128.17	1282 	1.133
233	127.86	1279 	1.138
234	127.55	1276 	1.143
235	127.24	1272 	1.147
236	126.94	1269 	1.152
237	126.63	1266 	1.157
238	126.33	1263 	1.162
239	126.03	1260 	1.167
240	125.73	1257 	1.172
241	125.43	1254 	1.177
242	125.13	1251 	1.182
243	124.83	1248 	1.187
244	124.54	1245 	1.191
245	124.24	1242 	1.196
246	123.95	1239 	1.201
247	123.66	1237 	1.206
248	123.37	1234 	1.211
249	123.08	1231 	1.216
250	122.79	1228 	1.221
251	122.50	1225 	1.226
252	122.21	1222 	1.230
253	121.92	1219 	1.235
254	121.64	1216 	1.240
255	121.36	1214 	1.245
256	121.07	1211 	1.250
257	120.79	1208 	1.255
258	120.51	1205 	1.260
259	120.23	1202 	1.265
260	119.95	1200 	1.270
261	119.67	1197 	1.274
262	119.40	1194 	1.279
263	119.12	1191 	1.284
264	118.85	1188 	1.289
265	118.57	1186 	1.294
266	118.30	1183 	1.299
267	118.03	1180 	1.304
268	117.75	1178 	1.309
269	117.48	1175 	1.313
270	117.21	1172 	1.318
271	116.95	1169 	1.323
272	116.68	1167 	1.328
273	116.41	1164 	1.333
274	116.15	1161 	1.338
275	115.88	1159 	1.343
276	115.62	1156 	1.348
277	115.35	1154 	1.353
278	115.09	1151 	1.357
279	114.83	1148 	1.362
280	114.57	1146 	1.367
281	114.31	1143 	1.372
282	114.05	1140 	1.377
283	113.79	1138 	1.382
284	113.53	1135 	1.387
285	113.28	1133 	1.392
286	113.02	1130 	1.396
287	112.76	1128 	1.401
288	112.51	1125 	1.406
289	112.26	1123 	1.411
290	112.00	1120 	1.416
291	111.75	1118 	1.421
292	111.50	1115 	1.426
293	111.25	1112 	1.431
294	111.00	1110 	1.436
295	110.75	1108 	1.440
296	110.50	1105 	1.445
297	110.25	1103 	1.450
298	110.01	1100 	1.455
299	109.76	1098 	1.460
300	109.51	1095 	1.465
301	109.27	1093 	1.470
302	109.03	1090 	1.475
303	108.78	1088 	1.479
304	108.54	1085 	1.484
305	108.30	1083 	1.489
306	108.06	1081 	1.494
307	107.81	1078 	1.499
308	107.57	1076 	1.504
309	107.33	1073 	1.509
310	107.10	1071 	1.514
311	106.86	1069 	1.519
312	106.62	1066 	1.523
313	106.38	1064 	1.528
314	106.15	1061 	1.533
315	105.91	1059 	1.538
316	105.68	1057 	1.543
317	105.44	1054 	1.548
318	105.21	1052 	1.553
319	104.97	1050 	1.558
320	104.74	1047 	1.563
321	104.51	1045 	1.567
322	104.28	1043 	1.572
323	104.05	1040 	1.577
324	103.82	1038 	1.582
325	103.59	1036 	1.587
326	103.36	1034 	1.592
327	103.13	1031 	1.597
328	102.90	1029 	1.602
329	102.67	1027 	1.606
330	102.45	1024 	1.611
331	102.22	1022 	1.616
332	101.99	1020 	1.621
333	101.77	1018 	1.626
334	101.54	1015 	1.631
335	101.32	1013 	1.636
336	101.09	1011 	1.641
337	100.87	1009 	1.646
338	100.65	1006 	1.650
339	100.43	1004 	1.655
340	100.20	1002 	1.660
341	99.98	1000 	1.665
342	99.76	998 	1.670
343	99.54	995 	1.675
344	99.32	993 	1.680
345	99.10	991 	1.685
346	98.88	989 	1.689
347	98.67	987 	1.694
348	98.45	984 	1.699
349	98.23	982 	1.704
350	98.01	980 	1.709
351	97.80	978 	1.714
352	97.58	976 	1.719
353	97.37	974 	1.724
354	97.15	972 	1.729
355	96.94	969 	1.733
356	96.72	967 	1.738
357	96.51	965 	1.743
358	96.30	963 	1.748
359	96.08	961 	1.753
360	95.87	959 	1.758
361	95.66	957 	1.763
362	95.45	954 	1.768
363	95.24	952 	1.772
364	95.03	950 	1.777
365	94.82	948 	1.782
366	94.61	946 	1.787
367	94.40	944 	1.792
368	94.19	942 	1.797
369	93.98	940 	1.802
370	93.77	938 	1.807
371	93.57	936 	1.812
372	93.36	934 	1.816
373	93.15	932 	1.821
374	92.94	929 	1.826
375	92.74	927 	1.831
376	92.53	925 	1.836
377	92.33	923 	1.841
378	92.12	921 	1.846
379	91.92	919 	1.851
380	91.71	917 	1.855
381	91.51	915 	1.860
382	91.31	913 	1.865
383	91.10	911 	1.870
384	90.90	909 	1.875
385	90.70	907 	1.880
386	90.50	905 	1.885
387	90.30	903 	1.890
388	90.09	901 	1.895
389	89.89	899 	1.899
390	89.69	897 	1.904
391	89.49	895 	1.909
392	89.29	893 	1.914
393	89.09	891 	1.919
394	88.89	889 	1.924
395	88.70	887 	1.929
396	88.50	885 	1.934
397	88.30	883 	1.938
398	88.10	881 	1.943
399	87.90	879 	1.948
400	87.71	877 	1.953
401	87.51	875 	1.958
402	87.31	873 	1.963
403	87.12	871 	1.968
404	86.92	869 	1.973
405	86.73	867 	1.978
406	86.53	865 	1.982
407	86.34	863 	1.987
408	86.14	861 	1.992
409	85.95	859 	1.997
410	85.75	858 	2.002
411	85.56	856 	2.007
412	85.37	854 	2.012
413	85.17	852 	2.017
414	84.98	850 	2.021
415	84.79	848 	2.026
416	84.59	846 	2.031
417	84.40	844 	2.036
418	84.21	842 	2.041
419	84.02	840 	2.046
420	83.83	838 	2.051
421	83.64	836 	2.056
422	83.45	834 	2.061
423	83.26	833 	2.065
424	83.07	831 	2.070
425	82.88	829 	2.075
426	82.69	827 	2.080
427	82.50	825 	2.085
428	82.31	823 	2.090
429	82.12	821 	2.095
430	81.93	819 	2.100
431	81.74	817 	2.104
432	81.56	816 	2.109
433	81.37	814 	2.114
434	81.18	812 	2.119
435	80.99	810 	2.124
436	80.81	808 	2.129
437	80.62	806 	2.134
438	80.43	804 	2.139
439	80.25	802 	2.144
440	80.06	801 	2.148
441	79.88	799 	2.153
442	79.69	797 	2.158
443	79.50	795 	2.163
444	79.32	793 	2.168
445	79.13	791 	2.173
446	78.95	789 	2.178
447	78.77	788 	2.183
448	78.58	786 	2.188
449	78.40	784 	2.192
450	78.21	782 	2.197
451	78.03	780 	2.202
452	77.85	778 	2.207
453	77.66	777 	2.212
454	77.48	775 	2.217
455	77.30	773 	2.222
456	77.12	771 	2.227
457	76.93	769 	2.231
458	76.75	768 	2.236
459	76.57	766 	2.241
460	76.39	764 	2.246
461	76.21	762 	2.251
462	76.03	760 	2.256
463	75.84	758 	2.261
464	75.66	757 	2.266
465	75.48	755 	2.271
466	75.30	753 	2.275
467	75.12	751 	2.280
468	74.94	749 	2.285
469	74.76	748 	2.290
470	74.58	746 	2.295
471	74.40	744 	2.300
472	74.22	742 	2.305
473	74.04	740 	2.310
474	73.87	739 	2.314
475	73.69	737 	2.319
476	73.51	735 	2.324
477	73.33	733 	2.329
478	73.15	732 	2.334
479	72.97	730 	2.339
480	72.80	728 	2.344
481	72.62	726 	2.349
482	72.44	724 	2.354
483	72.26	723 	2.358
484	72.08	721 	2.363
485	71.91	719 	2.368
486	71.73	717 	2.373
487	71.55	716 	2.378
488	71.38	714 	2.383
489	71.20	712 	2.388
490	71.02	710 	2.393
491	70.85	708 	2.397
492	70.67	707 	2.402
493	70.50	705 	2.407
494	70.32	703 	2.412
495	70.14	701 	2.417
496	69.97	700 	2.422
497	69.79	698 	2.427
498	69.62	696 	2.432
499	69.44	694 	2.437
500	69.27	693 	2.441
501	69.09	691 	2.446
502	68.92	689 	2.451
503	68.74	687 	2.456
504	68.57	686 	2.461
505	68.40	684 	2.466
506	68.22	682 	2.471
507	68.05	680 	2.476
508	67.87	679 	2.480
509	67.70	677 	2.485
510	67.53	675 	2.490
511	67.35	674 	2.495
512	67.18	672 	2.500
513	67.01	670 	2.505
514	66.83	668 	2.510
515	66.66	667 	2.515
516	66.49	665 	2.520
517	66.31	663 	2.524
518	66.14	661 	2.529
519	65.97	660 	2.534
520	65.80	658 	2.539
521	65.62	656 	2.544
522	65.45	655 	2.549
523	65.28	653 	2.554
524	65.11	651 	2.559
525	64.94	649 	2.563
526	64.76	648 	2.568
527	64.59	646 	2.573
528	64.42	644 	2.578
529	64.25	642 	2.583
530	64.08	641 	2.588
531	63.91	639 	2.593
532	63.73	637 	2.598
533	63.56	636 	2.603
534	63.39	634 	2.607
535	63.22	632 	2.612
536	63.05	630 	2.617
537	62.88	629 	2.622
538	62.71	627 	2.627
539	62.54	625 	2.632
540	62.37	624 	2.637
541	62.20	622 	2.642
542	62.03	620 	2.646
543	61.85	619 	2.651
544	61.68	617 	2.656
545	61.51	615 	2.661
546	61.34	613 	2.666
547	61.17	612 	2.671
548	61.00	610 	2.676
549	60.83	608 	2.681
550	60.66	607 	2.686
551	60.49	605 	2.690
552	60.32	603 	2.695
553	60.15	602 	2.700
554	59.98	600 	2.705
555	59.81	598 	2.710
556	59.65	596 	2.715
557	59.48	595 	2.720
558	59.31	593 	2.725
559	59.14	591 	2.729
560	58.97	590 	2.734
561	58.80	588 	2.739
562	58.63	586 	2.744
563	58.46	585 	2.749
564	58.29	583 	2.754
565	58.12	581 	2.759
566	57.95	580 	2.764
567	57.78	578 	2.769
568	57.61	576 	2.773
569	57.45	574 	2.778
570	57.28	573 	2.783
571	57.11	571 	2.788
572	56.94	569 	2.793
573	56.77	568 	2.798
574	56.60	566 	2.803
575	56.43	564 	2.808
576	56.26	563 	2.813
577	56.10	561 	2.817
578	55.93	559 	2.822
579	55.76	558 	2.827
580	55.59	556 	2.832
581	55.42	554 	2.837
582	55.25	553 	2.842
