//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-15-2014
//--  Time: 16:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 50000.0 Ohms
//--    Temperature1: -40.0(F), 	Resistance 1: 2022088.0 Ohms 
//--    Temperature2: 69.8(F), 	Resistance 2: 68273.0 Ohms 
//--    Temperature3: 210.2(F), 	Resistance 3: 3715.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
203	145.02	1450 	0.991
204	144.71	1447 	0.996
205	144.41	1444 	1.001
206	144.11	1441 	1.006
207	143.81	1438 	1.011
208	143.51	1435 	1.016
209	143.22	1432 	1.021
210	142.92	1429 	1.025
211	142.63	1426 	1.030
212	142.34	1423 	1.035
213	142.04	1420 	1.040
214	141.75	1418 	1.045
215	141.47	1415 	1.050
216	141.18	1412 	1.055
217	140.89	1409 	1.060
218	140.61	1406 	1.064
219	140.32	1403 	1.069
220	140.04	1400 	1.074
221	139.76	1398 	1.079
222	139.48	1395 	1.084
223	139.20	1392 	1.089
224	138.92	1389 	1.094
225	138.64	1386 	1.099
226	138.37	1384 	1.104
227	138.09	1381 	1.108
228	137.82	1378 	1.113
229	137.55	1375 	1.118
230	137.27	1373 	1.123
231	137.00	1370 	1.128
232	136.73	1367 	1.133
233	136.47	1365 	1.138
234	136.20	1362 	1.143
235	135.93	1359 	1.147
236	135.67	1357 	1.152
237	135.40	1354 	1.157
238	135.14	1351 	1.162
239	134.88	1349 	1.167
240	134.61	1346 	1.172
241	134.35	1344 	1.177
242	134.09	1341 	1.182
243	133.84	1338 	1.187
244	133.58	1336 	1.191
245	133.32	1333 	1.196
246	133.07	1331 	1.201
247	132.81	1328 	1.206
248	132.56	1326 	1.211
249	132.30	1323 	1.216
250	132.05	1321 	1.221
251	131.80	1318 	1.226
252	131.55	1315 	1.230
253	131.30	1313 	1.235
254	131.05	1310 	1.240
255	130.80	1308 	1.245
256	130.55	1306 	1.250
257	130.31	1303 	1.255
258	130.06	1301 	1.260
259	129.82	1298 	1.265
260	129.57	1296 	1.270
261	129.33	1293 	1.274
262	129.09	1291 	1.279
263	128.85	1288 	1.284
264	128.61	1286 	1.289
265	128.37	1284 	1.294
266	128.13	1281 	1.299
267	127.89	1279 	1.304
268	127.65	1276 	1.309
269	127.41	1274 	1.313
270	127.18	1272 	1.318
271	126.94	1269 	1.323
272	126.71	1267 	1.328
273	126.47	1265 	1.333
274	126.24	1262 	1.338
275	126.00	1260 	1.343
276	125.77	1258 	1.348
277	125.54	1255 	1.353
278	125.31	1253 	1.357
279	125.08	1251 	1.362
280	124.85	1249 	1.367
281	124.62	1246 	1.372
282	124.39	1244 	1.377
283	124.17	1242 	1.382
284	123.94	1239 	1.387
285	123.71	1237 	1.392
286	123.49	1235 	1.396
287	123.26	1233 	1.401
288	123.04	1230 	1.406
289	122.82	1228 	1.411
290	122.59	1226 	1.416
291	122.37	1224 	1.421
292	122.15	1221 	1.426
293	121.93	1219 	1.431
294	121.71	1217 	1.436
295	121.49	1215 	1.440
296	121.27	1213 	1.445
297	121.05	1210 	1.450
298	120.83	1208 	1.455
299	120.61	1206 	1.460
300	120.40	1204 	1.465
301	120.18	1202 	1.470
302	119.96	1200 	1.475
303	119.75	1197 	1.479
304	119.53	1195 	1.484
305	119.32	1193 	1.489
306	119.11	1191 	1.494
307	118.89	1189 	1.499
308	118.68	1187 	1.504
309	118.47	1185 	1.509
310	118.26	1183 	1.514
311	118.04	1180 	1.519
312	117.83	1178 	1.523
313	117.62	1176 	1.528
314	117.41	1174 	1.533
315	117.21	1172 	1.538
316	117.00	1170 	1.543
317	116.79	1168 	1.548
318	116.58	1166 	1.553
319	116.37	1164 	1.558
320	116.17	1162 	1.563
321	115.96	1160 	1.567
322	115.76	1158 	1.572
323	115.55	1156 	1.577
324	115.35	1153 	1.582
325	115.14	1151 	1.587
326	114.94	1149 	1.592
327	114.73	1147 	1.597
328	114.53	1145 	1.602
329	114.33	1143 	1.606
330	114.13	1141 	1.611
331	113.93	1139 	1.616
332	113.72	1137 	1.621
333	113.52	1135 	1.626
334	113.32	1133 	1.631
335	113.12	1131 	1.636
336	112.92	1129 	1.641
337	112.73	1127 	1.646
338	112.53	1125 	1.650
339	112.33	1123 	1.655
340	112.13	1121 	1.660
341	111.93	1119 	1.665
342	111.74	1117 	1.670
343	111.54	1115 	1.675
344	111.34	1113 	1.680
345	111.15	1111 	1.685
346	110.95	1110 	1.689
347	110.76	1108 	1.694
348	110.56	1106 	1.699
349	110.37	1104 	1.704
350	110.18	1102 	1.709
351	109.98	1100 	1.714
352	109.79	1098 	1.719
353	109.60	1096 	1.724
354	109.41	1094 	1.729
355	109.21	1092 	1.733
356	109.02	1090 	1.738
357	108.83	1088 	1.743
358	108.64	1086 	1.748
359	108.45	1084 	1.753
360	108.26	1083 	1.758
361	108.07	1081 	1.763
362	107.88	1079 	1.768
363	107.69	1077 	1.772
364	107.50	1075 	1.777
365	107.31	1073 	1.782
366	107.13	1071 	1.787
367	106.94	1069 	1.792
368	106.75	1068 	1.797
369	106.56	1066 	1.802
370	106.38	1064 	1.807
371	106.19	1062 	1.812
372	106.01	1060 	1.816
373	105.82	1058 	1.821
374	105.63	1056 	1.826
375	105.45	1054 	1.831
376	105.26	1053 	1.836
377	105.08	1051 	1.841
378	104.90	1049 	1.846
379	104.71	1047 	1.851
380	104.53	1045 	1.855
381	104.35	1043 	1.860
382	104.16	1042 	1.865
383	103.98	1040 	1.870
384	103.80	1038 	1.875
385	103.62	1036 	1.880
386	103.43	1034 	1.885
387	103.25	1033 	1.890
388	103.07	1031 	1.895
389	102.89	1029 	1.899
390	102.71	1027 	1.904
391	102.53	1025 	1.909
392	102.35	1023 	1.914
393	102.17	1022 	1.919
394	101.99	1020 	1.924
395	101.81	1018 	1.929
396	101.63	1016 	1.934
397	101.45	1015 	1.938
398	101.27	1013 	1.943
399	101.10	1011 	1.948
400	100.92	1009 	1.953
401	100.74	1007 	1.958
402	100.56	1006 	1.963
403	100.39	1004 	1.968
404	100.21	1002 	1.973
405	100.03	1000 	1.978
406	99.86	999 	1.982
407	99.68	997 	1.987
408	99.50	995 	1.992
409	99.33	993 	1.997
410	99.15	992 	2.002
411	98.98	990 	2.007
412	98.80	988 	2.012
413	98.63	986 	2.017
414	98.45	985 	2.021
415	98.28	983 	2.026
416	98.10	981 	2.031
417	97.93	979 	2.036
418	97.76	978 	2.041
419	97.58	976 	2.046
420	97.41	974 	2.051
421	97.24	972 	2.056
422	97.07	971 	2.061
423	96.89	969 	2.065
424	96.72	967 	2.070
425	96.55	965 	2.075
426	96.38	964 	2.080
427	96.20	962 	2.085
428	96.03	960 	2.090
429	95.86	959 	2.095
430	95.69	957 	2.100
431	95.52	955 	2.104
432	95.35	953 	2.109
433	95.18	952 	2.114
434	95.01	950 	2.119
435	94.84	948 	2.124
436	94.67	947 	2.129
437	94.50	945 	2.134
438	94.33	943 	2.139
439	94.16	942 	2.144
440	93.99	940 	2.148
441	93.82	938 	2.153
442	93.65	937 	2.158
443	93.48	935 	2.163
444	93.32	933 	2.168
445	93.15	931 	2.173
446	92.98	930 	2.178
447	92.81	928 	2.183
448	92.64	926 	2.188
449	92.48	925 	2.192
450	92.31	923 	2.197
451	92.14	921 	2.202
452	91.97	920 	2.207
453	91.81	918 	2.212
454	91.64	916 	2.217
455	91.47	915 	2.222
456	91.31	913 	2.227
457	91.14	911 	2.231
458	90.98	910 	2.236
459	90.81	908 	2.241
460	90.64	906 	2.246
461	90.48	905 	2.251
462	90.31	903 	2.256
463	90.15	901 	2.261
464	89.98	900 	2.266
465	89.82	898 	2.271
466	89.65	897 	2.275
467	89.49	895 	2.280
468	89.32	893 	2.285
469	89.16	892 	2.290
470	88.99	890 	2.295
471	88.83	888 	2.300
472	88.67	887 	2.305
473	88.50	885 	2.310
474	88.34	883 	2.314
475	88.17	882 	2.319
476	88.01	880 	2.324
477	87.85	878 	2.329
478	87.68	877 	2.334
479	87.52	875 	2.339
480	87.36	874 	2.344
481	87.19	872 	2.349
482	87.03	870 	2.354
483	86.87	869 	2.358
484	86.71	867 	2.363
485	86.54	865 	2.368
486	86.38	864 	2.373
487	86.22	862 	2.378
488	86.06	861 	2.383
489	85.90	859 	2.388
490	85.73	857 	2.393
491	85.57	856 	2.397
492	85.41	854 	2.402
493	85.25	852 	2.407
494	85.09	851 	2.412
495	84.93	849 	2.417
496	84.76	848 	2.422
497	84.60	846 	2.427
498	84.44	844 	2.432
499	84.28	843 	2.437
500	84.12	841 	2.441
501	83.96	840 	2.446
502	83.80	838 	2.451
503	83.64	836 	2.456
504	83.48	835 	2.461
505	83.32	833 	2.466
506	83.16	832 	2.471
507	83.00	830 	2.476
508	82.84	828 	2.480
509	82.68	827 	2.485
510	82.52	825 	2.490
511	82.36	824 	2.495
512	82.20	822 	2.500
513	82.04	820 	2.505
514	81.88	819 	2.510
515	81.72	817 	2.515
516	81.56	816 	2.520
517	81.40	814 	2.524
518	81.24	812 	2.529
519	81.08	811 	2.534
520	80.92	809 	2.539
521	80.76	808 	2.544
522	80.60	806 	2.549
523	80.45	804 	2.554
524	80.29	803 	2.559
525	80.13	801 	2.563
526	79.97	800 	2.568
527	79.81	798 	2.573
528	79.65	797 	2.578
529	79.49	795 	2.583
530	79.33	793 	2.588
531	79.18	792 	2.593
532	79.02	790 	2.598
533	78.86	789 	2.603
534	78.70	787 	2.607
535	78.54	785 	2.612
536	78.38	784 	2.617
537	78.23	782 	2.622
538	78.07	781 	2.627
539	77.91	779 	2.632
540	77.75	778 	2.637
541	77.59	776 	2.642
542	77.44	774 	2.646
543	77.28	773 	2.651
544	77.12	771 	2.656
545	76.96	770 	2.661
546	76.80	768 	2.666
547	76.65	766 	2.671
548	76.49	765 	2.676
549	76.33	763 	2.681
550	76.17	762 	2.686
551	76.02	760 	2.690
552	75.86	759 	2.695
553	75.70	757 	2.700
554	75.54	755 	2.705
555	75.39	754 	2.710
556	75.23	752 	2.715
557	75.07	751 	2.720
558	74.91	749 	2.725
559	74.76	748 	2.729
560	74.60	746 	2.734
561	74.44	744 	2.739
562	74.28	743 	2.744
563	74.13	741 	2.749
564	73.97	740 	2.754
565	73.81	738 	2.759
566	73.66	737 	2.764
567	73.50	735 	2.769
568	73.34	733 	2.773
569	73.18	732 	2.778
570	73.03	730 	2.783
571	72.87	729 	2.788
572	72.71	727 	2.793
573	72.56	726 	2.798
574	72.40	724 	2.803
575	72.24	722 	2.808
576	72.08	721 	2.813
577	71.93	719 	2.817
578	71.77	718 	2.822
579	71.61	716 	2.827
580	71.46	715 	2.832
581	71.30	713 	2.837
582	71.14	711 	2.842
583	70.98	710 	2.847
584	70.83	708 	2.852
585	70.67	707 	2.856
586	70.51	705 	2.861
587	70.35	704 	2.866
588	70.20	702 	2.871
589	70.04	700 	2.876
590	69.88	699 	2.881
591	69.73	697 	2.886
592	69.57	696 	2.891
593	69.41	694 	2.896
594	69.25	693 	2.900
595	69.10	691 	2.905
596	68.94	689 	2.910
597	68.78	688 	2.915
598	68.62	686 	2.920
599	68.47	685 	2.925
600	68.31	683 	2.930
601	68.15	682 	2.935
602	67.99	680 	2.939
603	67.84	678 	2.944
604	67.68	677 	2.949
605	67.52	675 	2.954
606	67.36	674 	2.959
607	67.21	672 	2.964
608	67.05	670 	2.969
609	66.89	669 	2.974
610	66.73	667 	2.979
611	66.57	666 	2.983
612	66.42	664 	2.988
613	66.26	663 	2.993
614	66.10	661 	2.998
615	65.94	659 	3.003
616	65.78	658 	3.008
617	65.63	656 	3.013
618	65.47	655 	3.018
619	65.31	653 	3.022
620	65.15	652 	3.027
621	64.99	650 	3.032
622	64.83	648 	3.037
623	64.68	647 	3.042
624	64.52	645 	3.047
625	64.36	644 	3.052
626	64.20	642 	3.057
627	64.04	640 	3.062
628	63.88	639 	3.066
629	63.72	637 	3.071
630	63.56	636 	3.076
631	63.40	634 	3.081
632	63.25	632 	3.086
633	63.09	631 	3.091
634	62.93	629 	3.096
635	62.77	628 	3.101
636	62.61	626 	3.105
637	62.45	624 	3.110
638	62.29	623 	3.115
639	62.13	621 	3.120
640	61.97	620 	3.125
641	61.81	618 	3.130
642	61.65	616 	3.135
643	61.49	615 	3.140
644	61.33	613 	3.145
645	61.17	612 	3.149
646	61.01	610 	3.154
647	60.85	608 	3.159
648	60.69	607 	3.164
649	60.53	605 	3.169
650	60.37	604 	3.174
651	60.21	602 	3.179
652	60.05	600 	3.184
653	59.88	599 	3.188
654	59.72	597 	3.193
655	59.56	596 	3.198
656	59.40	594 	3.203
657	59.24	592 	3.208
658	59.08	591 	3.213
659	58.92	589 	3.218
660	58.75	588 	3.223
661	58.59	586 	3.228
662	58.43	584 	3.232
663	58.27	583 	3.237
664	58.11	581 	3.242
665	57.94	579 	3.247
666	57.78	578 	3.252
667	57.62	576 	3.257
668	57.46	575 	3.262
669	57.29	573 	3.267
670	57.13	571 	3.271
671	56.97	570 	3.276
672	56.80	568 	3.281
673	56.64	566 	3.286
674	56.48	565 	3.291
675	56.31	563 	3.296
676	56.15	562 	3.301
677	55.99	560 	3.306
678	55.82	558 	3.311
679	55.66	557 	3.315
680	55.49	555 	3.320
681	55.33	553 	3.325
682	55.16	552 	3.330
683	55.00	550 	3.335
684	54.84	548 	3.340
685	54.67	547 	3.345
686	54.50	545 	3.350
687	54.34	543 	3.354
688	54.17	542 	3.359
689	54.01	540 	3.364
690	53.84	538 	3.369
691	53.68	537 	3.374
692	53.51	535 	3.379
693	53.34	533 	3.384
694	53.18	532 	3.389
695	53.01	530 	3.394
696	52.84	528 	3.398
697	52.68	527 	3.403
698	52.51	525 	3.408
699	52.34	523 	3.413
700	52.17	522 	3.418
701	52.01	520 	3.423
702	51.84	518 	3.428
703	51.67	517 	3.433
704	51.50	515 	3.438
705	51.33	513 	3.442
706	51.16	512 	3.447
707	50.99	510 	3.452
708	50.83	508 	3.457
709	50.66	507 	3.462
710	50.49	505 	3.467
711	50.32	503 	3.472
712	50.15	501 	3.477
713	49.98	500 	3.481
714	49.81	498 	3.486
715	49.63	496 	3.491
716	49.46	495 	3.496
717	49.29	493 	3.501
718	49.12	491 	3.506
719	48.95	489 	3.511
720	48.78	488 	3.516
721	48.61	486 	3.521
722	48.43	484 	3.525
723	48.26	483 	3.530
724	48.09	481 	3.535
725	47.92	479 	3.540
726	47.74	477 	3.545
727	47.57	476 	3.550
728	47.39	474 	3.555
729	47.22	472 	3.560
730	47.05	470 	3.564
731	46.87	469 	3.569
732	46.70	467 	3.574
733	46.52	465 	3.579
734	46.35	463 	3.584
735	46.17	462 	3.589
736	46.00	460 	3.594
737	45.82	458 	3.599
738	45.64	456 	3.604
739	45.47	455 	3.608
740	45.29	453 	3.613
741	45.11	451 	3.618
742	44.94	449 	3.623
743	44.76	448 	3.628
744	44.58	446 	3.633
745	44.40	444 	3.638
746	44.22	442 	3.643
747	44.04	440 	3.647
748	43.86	439 	3.652
749	43.68	437 	3.657
750	43.50	435 	3.662
751	43.32	433 	3.667
752	43.14	431 	3.672
753	42.96	430 	3.677
