//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 0-2-2010
//--  Time: 16:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: -40(C), 	Resistance 1: 100700 Ohms 
//--    Temperature2: 30(C), 	Resistance 2: 2238 Ohms 
//--    Temperature3: 99(C), 	Resistance 3: 177 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
205	142.94	1429 	1.001
206	142.65	1426 	1.006
207	142.35	1424 	1.011
208	142.06	1421 	1.016
209	141.77	1418 	1.021
210	141.48	1415 	1.025
211	141.19	1412 	1.030
212	140.90	1409 	1.035
213	140.61	1406 	1.040
214	140.33	1403 	1.045
215	140.04	1400 	1.050
216	139.76	1398 	1.055
217	139.48	1395 	1.060
218	139.20	1392 	1.064
219	138.92	1389 	1.069
220	138.64	1386 	1.074
221	138.36	1384 	1.079
222	138.09	1381 	1.084
223	137.81	1378 	1.089
224	137.54	1375 	1.094
225	137.27	1373 	1.099
226	136.99	1370 	1.104
227	136.72	1367 	1.108
228	136.45	1365 	1.113
229	136.18	1362 	1.118
230	135.92	1359 	1.123
231	135.65	1357 	1.128
232	135.39	1354 	1.133
233	135.12	1351 	1.138
234	134.86	1349 	1.143
235	134.60	1346 	1.147
236	134.33	1343 	1.152
237	134.07	1341 	1.157
238	133.81	1338 	1.162
239	133.56	1336 	1.167
240	133.30	1333 	1.172
241	133.04	1330 	1.177
242	132.79	1328 	1.182
243	132.53	1325 	1.187
244	132.28	1323 	1.191
245	132.02	1320 	1.196
246	131.77	1318 	1.201
247	131.52	1315 	1.206
248	131.27	1313 	1.211
249	131.02	1310 	1.216
250	130.77	1308 	1.221
251	130.52	1305 	1.226
252	130.28	1303 	1.230
253	130.03	1300 	1.235
254	129.79	1298 	1.240
255	129.54	1295 	1.245
256	129.30	1293 	1.250
257	129.06	1291 	1.255
258	128.81	1288 	1.260
259	128.57	1286 	1.265
260	128.33	1283 	1.270
261	128.09	1281 	1.274
262	127.85	1279 	1.279
263	127.62	1276 	1.284
264	127.38	1274 	1.289
265	127.14	1271 	1.294
266	126.91	1269 	1.299
267	126.67	1267 	1.304
268	126.44	1264 	1.309
269	126.20	1262 	1.313
270	125.97	1260 	1.318
271	125.74	1257 	1.323
272	125.51	1255 	1.328
273	125.27	1253 	1.333
274	125.04	1250 	1.338
275	124.82	1248 	1.343
276	124.59	1246 	1.348
277	124.36	1244 	1.353
278	124.13	1241 	1.357
279	123.90	1239 	1.362
280	123.68	1237 	1.367
281	123.45	1235 	1.372
282	123.23	1232 	1.377
283	123.00	1230 	1.382
284	122.78	1228 	1.387
285	122.56	1226 	1.392
286	122.34	1223 	1.396
287	122.11	1221 	1.401
288	121.89	1219 	1.406
289	121.67	1217 	1.411
290	121.45	1215 	1.416
291	121.23	1212 	1.421
292	121.01	1210 	1.426
293	120.80	1208 	1.431
294	120.58	1206 	1.436
295	120.36	1204 	1.440
296	120.15	1201 	1.445
297	119.93	1199 	1.450
298	119.72	1197 	1.455
299	119.50	1195 	1.460
300	119.29	1193 	1.465
301	119.07	1191 	1.470
302	118.86	1189 	1.475
303	118.65	1186 	1.479
304	118.44	1184 	1.484
305	118.23	1182 	1.489
306	118.01	1180 	1.494
307	117.80	1178 	1.499
308	117.59	1176 	1.504
309	117.39	1174 	1.509
310	117.18	1172 	1.514
311	116.97	1170 	1.519
312	116.76	1168 	1.523
313	116.55	1166 	1.528
314	116.35	1163 	1.533
315	116.14	1161 	1.538
316	115.94	1159 	1.543
317	115.73	1157 	1.548
318	115.53	1155 	1.553
319	115.32	1153 	1.558
320	115.12	1151 	1.563
321	114.91	1149 	1.567
322	114.71	1147 	1.572
323	114.51	1145 	1.577
324	114.31	1143 	1.582
325	114.11	1141 	1.587
326	113.91	1139 	1.592
327	113.70	1137 	1.597
328	113.50	1135 	1.602
329	113.31	1133 	1.606
330	113.11	1131 	1.611
331	112.91	1129 	1.616
332	112.71	1127 	1.621
333	112.51	1125 	1.626
334	112.31	1123 	1.631
335	112.12	1121 	1.636
336	111.92	1119 	1.641
337	111.72	1117 	1.646
338	111.53	1115 	1.650
339	111.33	1113 	1.655
340	111.14	1111 	1.660
341	110.94	1109 	1.665
342	110.75	1107 	1.670
343	110.56	1106 	1.675
344	110.36	1104 	1.680
345	110.17	1102 	1.685
346	109.98	1100 	1.689
347	109.78	1098 	1.694
348	109.59	1096 	1.699
349	109.40	1094 	1.704
350	109.21	1092 	1.709
351	109.02	1090 	1.714
352	108.83	1088 	1.719
353	108.64	1086 	1.724
354	108.45	1084 	1.729
355	108.26	1083 	1.733
356	108.07	1081 	1.738
357	107.88	1079 	1.743
358	107.69	1077 	1.748
359	107.51	1075 	1.753
360	107.32	1073 	1.758
361	107.13	1071 	1.763
362	106.94	1069 	1.768
363	106.76	1068 	1.772
364	106.57	1066 	1.777
365	106.39	1064 	1.782
366	106.20	1062 	1.787
367	106.02	1060 	1.792
368	105.83	1058 	1.797
369	105.65	1056 	1.802
370	105.46	1055 	1.807
371	105.28	1053 	1.812
372	105.09	1051 	1.816
373	104.91	1049 	1.821
374	104.73	1047 	1.826
375	104.55	1045 	1.831
376	104.36	1044 	1.836
377	104.18	1042 	1.841
378	104.00	1040 	1.846
379	103.82	1038 	1.851
380	103.64	1036 	1.855
381	103.46	1035 	1.860
382	103.28	1033 	1.865
383	103.10	1031 	1.870
384	102.92	1029 	1.875
385	102.74	1027 	1.880
386	102.56	1026 	1.885
387	102.38	1024 	1.890
388	102.20	1022 	1.895
389	102.02	1020 	1.899
390	101.84	1018 	1.904
391	101.66	1017 	1.909
392	101.49	1015 	1.914
393	101.31	1013 	1.919
394	101.13	1011 	1.924
395	100.95	1010 	1.929
396	100.78	1008 	1.934
397	100.60	1006 	1.938
398	100.43	1004 	1.943
399	100.25	1002 	1.948
400	100.07	1001 	1.953
401	99.90	999 	1.958
402	99.72	997 	1.963
403	99.55	995 	1.968
404	99.37	994 	1.973
405	99.20	992 	1.978
406	99.03	990 	1.982
407	98.85	989 	1.987
408	98.68	987 	1.992
409	98.50	985 	1.997
410	98.33	983 	2.002
411	98.16	982 	2.007
412	97.99	980 	2.012
413	97.81	978 	2.017
414	97.64	976 	2.021
415	97.47	975 	2.026
416	97.30	973 	2.031
417	97.12	971 	2.036
418	96.95	970 	2.041
419	96.78	968 	2.046
420	96.61	966 	2.051
421	96.44	964 	2.056
422	96.27	963 	2.061
423	96.10	961 	2.065
424	95.93	959 	2.070
425	95.76	958 	2.075
426	95.59	956 	2.080
427	95.42	954 	2.085
428	95.25	953 	2.090
429	95.08	951 	2.095
430	94.91	949 	2.100
431	94.74	947 	2.104
432	94.58	946 	2.109
433	94.41	944 	2.114
434	94.24	942 	2.119
435	94.07	941 	2.124
436	93.90	939 	2.129
437	93.74	937 	2.134
438	93.57	936 	2.139
439	93.40	934 	2.144
440	93.23	932 	2.148
441	93.07	931 	2.153
442	92.90	929 	2.158
443	92.73	927 	2.163
444	92.57	926 	2.168
445	92.40	924 	2.173
446	92.23	922 	2.178
447	92.07	921 	2.183
448	91.90	919 	2.188
449	91.74	917 	2.192
450	91.57	916 	2.197
451	91.41	914 	2.202
452	91.24	912 	2.207
453	91.08	911 	2.212
454	90.91	909 	2.217
455	90.75	907 	2.222
456	90.58	906 	2.227
457	90.42	904 	2.231
458	90.26	903 	2.236
459	90.09	901 	2.241
460	89.93	899 	2.246
461	89.76	898 	2.251
462	89.60	896 	2.256
463	89.44	894 	2.261
464	89.27	893 	2.266
465	89.11	891 	2.271
466	88.95	889 	2.275
467	88.79	888 	2.280
468	88.62	886 	2.285
469	88.46	885 	2.290
470	88.30	883 	2.295
471	88.14	881 	2.300
472	87.97	880 	2.305
473	87.81	878 	2.310
474	87.65	876 	2.314
475	87.49	875 	2.319
476	87.33	873 	2.324
477	87.16	872 	2.329
478	87.00	870 	2.334
479	86.84	868 	2.339
480	86.68	867 	2.344
481	86.52	865 	2.349
482	86.36	864 	2.354
483	86.20	862 	2.358
484	86.04	860 	2.363
485	85.88	859 	2.368
486	85.72	857 	2.373
487	85.56	856 	2.378
488	85.40	854 	2.383
489	85.24	852 	2.388
490	85.08	851 	2.393
491	84.92	849 	2.397
492	84.76	848 	2.402
493	84.60	846 	2.407
494	84.44	844 	2.412
495	84.28	843 	2.417
496	84.12	841 	2.422
497	83.96	840 	2.427
498	83.80	838 	2.432
499	83.64	836 	2.437
500	83.48	835 	2.441
501	83.32	833 	2.446
502	83.16	832 	2.451
503	83.01	830 	2.456
504	82.85	828 	2.461
505	82.69	827 	2.466
506	82.53	825 	2.471
507	82.37	824 	2.476
508	82.21	822 	2.480
509	82.06	821 	2.485
510	81.90	819 	2.490
511	81.74	817 	2.495
512	81.58	816 	2.500
513	81.42	814 	2.505
514	81.27	813 	2.510
515	81.11	811 	2.515
516	80.95	810 	2.520
517	80.79	808 	2.524
518	80.64	806 	2.529
519	80.48	805 	2.534
520	80.32	803 	2.539
521	80.16	802 	2.544
522	80.01	800 	2.549
523	79.85	798 	2.554
524	79.69	797 	2.559
525	79.53	795 	2.563
526	79.38	794 	2.568
527	79.22	792 	2.573
528	79.06	791 	2.578
529	78.91	789 	2.583
530	78.75	788 	2.588
531	78.59	786 	2.593
532	78.44	784 	2.598
533	78.28	783 	2.603
534	78.12	781 	2.607
535	77.97	780 	2.612
536	77.81	778 	2.617
537	77.65	777 	2.622
538	77.50	775 	2.627
539	77.34	773 	2.632
540	77.19	772 	2.637
541	77.03	770 	2.642
542	76.87	769 	2.646
543	76.72	767 	2.651
544	76.56	766 	2.656
545	76.41	764 	2.661
546	76.25	762 	2.666
547	76.09	761 	2.671
548	75.94	759 	2.676
549	75.78	758 	2.681
550	75.63	756 	2.686
551	75.47	755 	2.690
552	75.31	753 	2.695
553	75.16	752 	2.700
554	75.00	750 	2.705
555	74.85	748 	2.710
556	74.69	747 	2.715
557	74.54	745 	2.720
558	74.38	744 	2.725
559	74.22	742 	2.729
560	74.07	741 	2.734
561	73.91	739 	2.739
562	73.76	738 	2.744
563	73.60	736 	2.749
564	73.45	734 	2.754
565	73.29	733 	2.759
566	73.13	731 	2.764
567	72.98	730 	2.769
568	72.82	728 	2.773
569	72.67	727 	2.778
570	72.51	725 	2.783
571	72.36	724 	2.788
572	72.20	722 	2.793
573	72.05	720 	2.798
574	71.89	719 	2.803
575	71.73	717 	2.808
576	71.58	716 	2.813
577	71.42	714 	2.817
578	71.27	713 	2.822
579	71.11	711 	2.827
580	70.96	710 	2.832
581	70.80	708 	2.837
582	70.65	706 	2.842
583	70.49	705 	2.847
584	70.34	703 	2.852
585	70.18	702 	2.856
586	70.02	700 	2.861
587	69.87	699 	2.866
588	69.71	697 	2.871
589	69.56	696 	2.876
590	69.40	694 	2.881
591	69.25	692 	2.886
592	69.09	691 	2.891
593	68.93	689 	2.896
594	68.78	688 	2.900
595	68.62	686 	2.905
596	68.47	685 	2.910
597	68.31	683 	2.915
598	68.16	682 	2.920
599	68.00	680 	2.925
600	67.84	678 	2.930
601	67.69	677 	2.935
602	67.53	675 	2.939
603	67.38	674 	2.944
604	67.22	672 	2.949
605	67.06	671 	2.954
606	66.91	669 	2.959
607	66.75	668 	2.964
608	66.60	666 	2.969
609	66.44	664 	2.974
610	66.28	663 	2.979
611	66.13	661 	2.983
612	65.97	660 	2.988
613	65.81	658 	2.993
614	65.66	657 	2.998
615	65.50	655 	3.003
616	65.34	653 	3.008
617	65.19	652 	3.013
618	65.03	650 	3.018
619	64.87	649 	3.022
620	64.72	647 	3.027
621	64.56	646 	3.032
622	64.40	644 	3.037
623	64.25	642 	3.042
624	64.09	641 	3.047
625	63.93	639 	3.052
626	63.78	638 	3.057
627	63.62	636 	3.062
628	63.46	635 	3.066
629	63.30	633 	3.071
630	63.15	631 	3.076
631	62.99	630 	3.081
632	62.83	628 	3.086
633	62.67	627 	3.091
634	62.52	625 	3.096
635	62.36	624 	3.101
636	62.20	622 	3.105
637	62.04	620 	3.110
638	61.88	619 	3.115
639	61.73	617 	3.120
640	61.57	616 	3.125
641	61.41	614 	3.130
642	61.25	613 	3.135
643	61.09	611 	3.140
644	60.93	609 	3.145
645	60.78	608 	3.149
646	60.62	606 	3.154
647	60.46	605 	3.159
648	60.30	603 	3.164
649	60.14	601 	3.169
650	59.98	600 	3.174
651	59.82	598 	3.179
652	59.66	597 	3.184
653	59.50	595 	3.188
654	59.34	593 	3.193
655	59.18	592 	3.198
656	59.02	590 	3.203
657	58.86	589 	3.208
658	58.70	587 	3.213
659	58.54	585 	3.218
660	58.38	584 	3.223
661	58.22	582 	3.228
662	58.06	581 	3.232
663	57.90	579 	3.237
664	57.74	577 	3.242
665	57.58	576 	3.247
666	57.42	574 	3.252
667	57.26	573 	3.257
668	57.10	571 	3.262
669	56.94	569 	3.267
670	56.78	568 	3.271
671	56.61	566 	3.276
672	56.45	565 	3.281
673	56.29	563 	3.286
674	56.13	561 	3.291
675	55.97	560 	3.296
676	55.80	558 	3.301
677	55.64	556 	3.306
678	55.48	555 	3.311
679	55.32	553 	3.315
680	55.15	552 	3.320
681	54.99	550 	3.325
682	54.83	548 	3.330
683	54.66	547 	3.335
684	54.50	545 	3.340
685	54.34	543 	3.345
686	54.17	542 	3.350
687	54.01	540 	3.354
688	53.85	538 	3.359
689	53.68	537 	3.364
690	53.52	535 	3.369
691	53.35	534 	3.374
692	53.19	532 	3.379
693	53.02	530 	3.384
694	52.86	529 	3.389
695	52.69	527 	3.394
696	52.53	525 	3.398
697	52.36	524 	3.403
698	52.19	522 	3.408
699	52.03	520 	3.413
700	51.86	519 	3.418
701	51.70	517 	3.423
702	51.53	515 	3.428
703	51.36	514 	3.433
704	51.20	512 	3.438
705	51.03	510 	3.442
706	50.86	509 	3.447
707	50.69	507 	3.452
708	50.53	505 	3.457
709	50.36	504 	3.462
710	50.19	502 	3.467
711	50.02	500 	3.472
712	49.85	499 	3.477
713	49.68	497 	3.481
714	49.52	495 	3.486
715	49.35	493 	3.491
716	49.18	492 	3.496
717	49.01	490 	3.501
718	48.84	488 	3.506
719	48.67	487 	3.511
720	48.50	485 	3.516
721	48.33	483 	3.521
722	48.15	482 	3.525
723	47.98	480 	3.530
724	47.81	478 	3.535
725	47.64	476 	3.540
