//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-16-2014
//--  Time: 15:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -4.0(F), 	Resistance 1: 16200.0 Ohms 
//--    Temperature2: 68.0(F), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 176.0(F), 	Resistance 3: 300.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
203	135.33	1353 	0.991
204	135.00	1350 	0.996
205	134.67	1347 	1.001
206	134.35	1343 	1.006
207	134.03	1340 	1.011
208	133.71	1337 	1.016
209	133.39	1334 	1.021
210	133.07	1331 	1.025
211	132.75	1328 	1.030
212	132.44	1324 	1.035
213	132.12	1321 	1.040
214	131.81	1318 	1.045
215	131.50	1315 	1.050
216	131.19	1312 	1.055
217	130.88	1309 	1.060
218	130.58	1306 	1.064
219	130.27	1303 	1.069
220	129.97	1300 	1.074
221	129.66	1297 	1.079
222	129.36	1294 	1.084
223	129.06	1291 	1.089
224	128.76	1288 	1.094
225	128.46	1285 	1.099
226	128.17	1282 	1.104
227	127.87	1279 	1.108
228	127.57	1276 	1.113
229	127.28	1273 	1.118
230	126.99	1270 	1.123
231	126.70	1267 	1.128
232	126.41	1264 	1.133
233	126.12	1261 	1.138
234	125.83	1258 	1.143
235	125.54	1255 	1.147
236	125.26	1253 	1.152
237	124.97	1250 	1.157
238	124.69	1247 	1.162
239	124.41	1244 	1.167
240	124.13	1241 	1.172
241	123.85	1238 	1.177
242	123.57	1236 	1.182
243	123.29	1233 	1.187
244	123.01	1230 	1.191
245	122.74	1227 	1.196
246	122.46	1225 	1.201
247	122.19	1222 	1.206
248	121.91	1219 	1.211
249	121.64	1216 	1.216
250	121.37	1214 	1.221
251	121.10	1211 	1.226
252	120.83	1208 	1.230
253	120.56	1206 	1.235
254	120.30	1203 	1.240
255	120.03	1200 	1.245
256	119.76	1198 	1.250
257	119.50	1195 	1.255
258	119.24	1192 	1.260
259	118.97	1190 	1.265
260	118.71	1187 	1.270
261	118.45	1184 	1.274
262	118.19	1182 	1.279
263	117.93	1179 	1.284
264	117.67	1177 	1.289
265	117.41	1174 	1.294
266	117.16	1172 	1.299
267	116.90	1169 	1.304
268	116.64	1166 	1.309
269	116.39	1164 	1.313
270	116.14	1161 	1.318
271	115.88	1159 	1.323
272	115.63	1156 	1.328
273	115.38	1154 	1.333
274	115.13	1151 	1.338
275	114.88	1149 	1.343
276	114.63	1146 	1.348
277	114.38	1144 	1.353
278	114.13	1141 	1.357
279	113.89	1139 	1.362
280	113.64	1136 	1.367
281	113.40	1134 	1.372
282	113.15	1132 	1.377
283	112.91	1129 	1.382
284	112.66	1127 	1.387
285	112.42	1124 	1.392
286	112.18	1122 	1.396
287	111.94	1119 	1.401
288	111.70	1117 	1.406
289	111.46	1115 	1.411
290	111.22	1112 	1.416
291	110.98	1110 	1.421
292	110.74	1107 	1.426
293	110.51	1105 	1.431
294	110.27	1103 	1.436
295	110.03	1100 	1.440
296	109.80	1098 	1.445
297	109.56	1096 	1.450
298	109.33	1093 	1.455
299	109.10	1091 	1.460
300	108.86	1089 	1.465
301	108.63	1086 	1.470
302	108.40	1084 	1.475
303	108.17	1082 	1.479
304	107.94	1079 	1.484
305	107.71	1077 	1.489
306	107.48	1075 	1.494
307	107.25	1073 	1.499
308	107.02	1070 	1.504
309	106.80	1068 	1.509
310	106.57	1066 	1.514
311	106.34	1063 	1.519
312	106.12	1061 	1.523
313	105.89	1059 	1.528
314	105.67	1057 	1.533
315	105.44	1054 	1.538
316	105.22	1052 	1.543
317	105.00	1050 	1.548
318	104.78	1048 	1.553
319	104.55	1046 	1.558
320	104.33	1043 	1.563
321	104.11	1041 	1.567
322	103.89	1039 	1.572
323	103.67	1037 	1.577
324	103.45	1035 	1.582
325	103.23	1032 	1.587
326	103.02	1030 	1.592
327	102.80	1028 	1.597
328	102.58	1026 	1.602
329	102.36	1024 	1.606
330	102.15	1021 	1.611
331	101.93	1019 	1.616
332	101.72	1017 	1.621
333	101.50	1015 	1.626
334	101.29	1013 	1.631
335	101.07	1011 	1.636
336	100.86	1009 	1.641
337	100.65	1006 	1.646
338	100.44	1004 	1.650
339	100.22	1002 	1.655
340	100.01	1000 	1.660
341	99.80	998 	1.665
342	99.59	996 	1.670
343	99.38	994 	1.675
344	99.17	992 	1.680
345	98.96	990 	1.685
346	98.75	988 	1.689
347	98.54	985 	1.694
348	98.34	983 	1.699
349	98.13	981 	1.704
350	97.92	979 	1.709
351	97.72	977 	1.714
352	97.51	975 	1.719
353	97.30	973 	1.724
354	97.10	971 	1.729
355	96.89	969 	1.733
356	96.69	967 	1.738
357	96.48	965 	1.743
358	96.28	963 	1.748
359	96.08	961 	1.753
360	95.87	959 	1.758
361	95.67	957 	1.763
362	95.47	955 	1.768
363	95.27	953 	1.772
364	95.06	951 	1.777
365	94.86	949 	1.782
366	94.66	947 	1.787
367	94.46	945 	1.792
368	94.26	943 	1.797
369	94.06	941 	1.802
370	93.86	939 	1.807
371	93.66	937 	1.812
372	93.46	935 	1.816
373	93.27	933 	1.821
374	93.07	931 	1.826
375	92.87	929 	1.831
376	92.67	927 	1.836
377	92.47	925 	1.841
378	92.28	923 	1.846
379	92.08	921 	1.851
380	91.89	919 	1.855
381	91.69	917 	1.860
382	91.49	915 	1.865
