
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
"Flag","Flag","Flag","Flag","ms","ms"
0.0,1.0,0.0,0.0,341.5157,341.5157
0.0,0.0,1.0,0.0,11.1969,352.7126
1.0,1.0,0.0,0.0,117.4899,470.20248
1.0,0.0,1.0,0.0,36.61746,506.81995
0.0,1.0,0.0,0.0,130.5612,637.38116
0.0,0.0,1.0,0.0,9.70728,647.08844
1.0,0.0,0.0,0.0,34.6566,681.74506
1.0,0.0,1.0,0.0,92.8884,774.6334
0.0,1.0,0.0,0.0,114.03084,888.66425
0.0,0.0,1.0,0.0,9.17664,897.8409
1.0,1.0,0.0,0.0,90.354,988.1949
1.0,0.0,1.0,0.0,33.68178,1021.87665
0.0,1.0,0.0,0.0,120.87966,1142.7563
0.0,0.0,1.0,1.0,9.70728,1152.4636
1.0,0.0,0.0,1.0,35.00112,1187.4647
1.0,0.0,1.0,1.0,93.74112,1281.2058
0.0,1.0,0.0,1.0,116.37252,1397.5784
0.0,0.0,1.0,1.0,9.19314,1406.7715
1.0,1.0,0.0,1.0,92.48778,1499.2593
1.0,0.0,1.0,1.0,34.24674,1533.506
0.0,1.0,0.0,1.0,122.50854,1656.0145
0.0,0.0,1.0,0.0,9.9066,1665.9211
1.0,0.0,0.0,0.0,35.57598,1701.4971
1.0,0.0,1.0,0.0,94.74036,1796.2374
0.0,1.0,0.0,0.0,117.55788,1913.7953
0.0,0.0,1.0,0.0,9.25188,1923.0471
1.0,1.0,0.0,0.0,93.57612,2016.6233
1.0,0.0,1.0,0.0,34.61568,2051.239
0.0,1.0,0.0,0.0,123.1824,2174.4214
0.0,0.0,1.0,1.0,10.02606,2184.4475
1.0,0.0,0.0,1.0,35.66376,2220.1113
1.0,0.0,1.0,1.0,95.49012,2315.6016
0.0,1.0,0.0,1.0,118.73598,2434.3376
0.0,0.0,1.0,1.0,9.339,2443.6768
1.0,1.0,0.0,1.0,94.68426,2538.361
1.0,0.0,1.0,1.0,34.91994,2573.281
0.0,1.0,0.0,1.0,124.82448,2698.1055
0.0,0.0,1.0,0.0,10.09008,2708.1956
