#Firmware: MS3 pre-1.3 RC2       20140224 12:07GMT (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,1.0,1.0,247.965,4470.9834
0.0,0.0,0.0,1.0,4.156,4475.139
0.0,0.0,0.0,1.0,12.429,4487.5684
0.0,0.0,0.0,1.0,19.567,4507.1353
0.0,0.0,0.0,1.0,12.434,4519.5693
0.0,0.0,1.0,1.0,15.588,4535.157
0.0,0.0,0.0,1.0,4.01,4539.167
0.0,0.0,0.0,1.0,12.477,4551.644
0.0,0.0,0.0,1.0,19.609,4571.253
0.0,0.0,0.0,1.0,12.456,4583.709
0.0,0.0,1.0,1.0,8.187,4591.896
0.0,0.0,1.0,1.0,7.259,4599.155
0.0,0.0,0.0,1.0,4.171,4603.3257
0.0,0.0,0.0,1.0,12.479,4615.8047
0.0,0.0,0.0,1.0,19.582,4635.3867
0.0,0.0,0.0,1.0,12.418,4647.8047
0.0,0.0,1.0,1.0,15.573,4663.378
0.0,0.0,0.0,1.0,3.969,4667.347
0.0,0.0,0.0,1.0,12.432,4679.7793
0.0,0.0,0.0,1.0,19.567,4699.346
0.0,0.0,0.0,1.0,12.442,4711.788
0.0,0.0,1.0,1.0,8.176,4719.964
0.0,0.0,1.0,1.0,7.253,4727.217
0.0,0.0,0.0,1.0,4.146,4731.363
0.0,0.0,0.0,1.0,12.455,4743.818
0.0,0.0,0.0,1.0,19.544,4763.362
0.0,0.0,0.0,1.0,12.397,4775.759
0.0,0.0,1.0,1.0,15.508,4791.2666
0.0,0.0,0.0,1.0,3.955,4795.2217
0.0,0.0,0.0,1.0,12.36,4807.5815
0.0,0.0,0.0,1.0,19.517,4827.0986
0.0,0.0,0.0,1.0,12.446,4839.5444
0.0,0.0,1.0,1.0,8.157,4847.7017
0.0,0.0,1.0,1.0,7.264,4854.966
0.0,0.0,0.0,1.0,4.176,4859.1416
0.0,0.0,0.0,1.0,12.476,4871.6177
0.0,0.0,0.0,1.0,19.559,4891.177
0.0,0.0,0.0,1.0,12.401,4903.5776
0.0,0.0,1.0,1.0,15.561,4919.1387
